item_type,item_id,source_or_link,reviewer_decision,reviewer_note
claim,lhc_c001,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c002,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c003,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c004,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c005,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c006,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c007,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c008,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c009,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c010,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c011,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c012,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c013,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c014,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c015,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
claim,lhc_c016,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
relation,lhc_r003,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
relation,lhc_r004,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
relation,lhc_r016,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,pending,
loss,lhc_loss_001,examples/lhc_black_holes/decision_space_erosion_audit.md,pending,
loss,lhc_loss_002,examples/lhc_black_holes/decision_space_erosion_audit.md,pending,
loss,lhc_loss_005,examples/lhc_black_holes/decision_space_erosion_audit.md,pending,
loss,lhc_loss_006,examples/lhc_black_holes/decision_space_erosion_audit.md,pending,
overall,lhc_overall,docs/review/LHC_HUMAN_AUDIT_PACKET.md,pending,
